iter	Logloss
0	0.6734776088
1	0.6483560368
2	0.6214641337
3	0.6011537513
4	0.5875558036
5	0.5717041638
6	0.5568281524
7	0.5399200439
8	0.5285589724
9	0.5144877531
10	0.5047162737
11	0.4963948153
12	0.4878381846
13	0.4774490668
14	0.4661219694
15	0.4516161549
16	0.4459027972
17	0.4373921297
18	0.4281700913
19	0.4230351039
20	0.4169172637
21	0.4102743032
22	0.3998835972
23	0.3931205282
24	0.3866281003
25	0.3821687971
26	0.3752234634
27	0.3684223409
28	0.3612980122
29	0.3545817472
30	0.351224004
31	0.3488257895
32	0.3461096316
33	0.3391297632
34	0.3335992307
35	0.3314293686
36	0.3294610471
37	0.3269979049
38	0.3221741968
39	0.3153236233
40	0.3130483199
41	0.3086027807
42	0.3028246198
43	0.2970206124
44	0.2929067184
45	0.2912539735
46	0.2898040771
47	0.2884237795
48	0.2837510401
49	0.2822434406
50	0.2783784827
51	0.2771136848
52	0.2745857706
53	0.2695823202
54	0.2657171133
55	0.2622663848
56	0.2614038584
57	0.2602779466
58	0.2570013552
59	0.255877234
60	0.2535106737
61	0.2505384484
62	0.2469269889
63	0.2439646195
64	0.2427181789
65	0.2400733481
66	0.2377332103
67	0.2361019524
68	0.2351834044
69	0.2344857041
70	0.2338098331
71	0.2311926083
72	0.2303557415
73	0.2285191127
74	0.2279465656
75	0.2270230663
76	0.2263026335
77	0.225613777
78	0.2248999148
79	0.2241060218
80	0.2235355922
81	0.2228045717
82	0.2206551999
83	0.2191344748
84	0.2182029101
85	0.2177690934
86	0.2155899048
87	0.2149289812
88	0.2141228501
89	0.2136651175
90	0.2131933718
91	0.2125904628
92	0.2120365065
93	0.2114962987
94	0.2110620927
95	0.2105829978
96	0.2100774181
97	0.2094138788
98	0.2086399623
99	0.2082282242
100	0.2075519484
101	0.2070314368
102	0.2062866834
103	0.2057326336
104	0.2053486415
105	0.2037608244
106	0.2033601099
107	0.2026350372
108	0.2022565881
109	0.2018537872
110	0.1998681827
111	0.1994556038
112	0.1979591214
113	0.1975766863
114	0.1971779025
115	0.1955553639
116	0.1949226535
117	0.1946749629
118	0.1941741943
119	0.1938268389
120	0.1934738471
121	0.1932467091
122	0.1928392527
123	0.1926010755
124	0.1922240588
125	0.1918130057
126	0.1914747277
127	0.1912181309
128	0.1909179843
129	0.1905232955
130	0.1902078123
131	0.1898896198
132	0.1887080446
133	0.1884085208
134	0.1880380436
135	0.1878190021
136	0.1875752819
137	0.1871149024
138	0.1867161498
139	0.1863904058
140	0.1861936141
141	0.1859133039
142	0.1856183733
143	0.1853463932
144	0.1849885902
145	0.1838213239
146	0.1835280905
147	0.1832153009
148	0.1829703818
149	0.1828084829
150	0.1824935602
151	0.1821185365
152	0.1817907217
153	0.1815345608
154	0.1810355517
155	0.1807665299
156	0.1802331107
157	0.1798776899
158	0.1796595671
159	0.1794960956
160	0.1793519312
161	0.1789969308
162	0.1787487731
163	0.1779866277
164	0.1777305759
165	0.177520425
166	0.1772474639
167	0.1770228172
168	0.1768237523
169	0.1765251004
170	0.1763142021
171	0.1758169213
172	0.1755235944
173	0.1752484069
174	0.1750131412
175	0.174657518
176	0.1743420659
177	0.1740034454
178	0.1731250374
179	0.1728190831
180	0.1726243311
181	0.1722955509
182	0.1721770617
183	0.1717826532
184	0.1715195636
185	0.1712142322
