iter	Passed	Remaining
0	44	8230
1	88	8105
2	163	9949
3	299	13638
4	357	12947
5	440	13200
6	489	12529
7	543	12082
8	580	11416
9	639	11253
10	695	11068
11	737	10698
12	757	10083
13	803	9876
14	866	9873
15	898	9548
16	944	9389
17	975	9107
18	1018	8954
19	1096	9100
20	1168	9182
21	1189	8867
22	1213	8601
23	1256	8483
24	1363	8779
25	1404	8643
26	1428	8410
27	1460	8239
28	1479	8009
29	1519	7900
30	1550	7751
31	1597	7687
32	1645	7628
33	1674	7486
34	1718	7415
35	1748	7286
36	1778	7163
37	1804	7028
38	1854	6989
39	1895	6918
40	1914	6770
41	1935	6635
42	1958	6513
43	2002	6461
44	2045	6410
45	2064	6282
46	2083	6160
47	2116	6083
48	2146	6002
49	2174	5915
50	2210	5852
51	2265	5838
52	2296	5764
53	2320	5672
54	2340	5574
55	2357	5472
56	2395	5420
57	2429	5361
58	2474	5325
59	2499	5248
60	2533	5191
61	2550	5100
62	2572	5022
63	2603	4963
64	2629	4894
65	2649	4816
66	2681	4762
67	2708	4699
68	2730	4630
69	2762	4577
70	2814	4557
71	2847	4509
72	2871	4445
73	2905	4397
74	2962	4384
75	3012	4360
76	3034	4295
77	3059	4236
78	3085	4178
79	3104	4113
80	3141	4072
81	3170	4021
82	3197	3968
83	3231	3924
84	3264	3879
85	3295	3831
86	3320	3778
87	3342	3722
88	3377	3680
89	3405	3632
90	3446	3598
91	3512	3589
92	3610	3610
93	3647	3570
94	3683	3528
95	3715	3483
96	3755	3445
97	3780	3394
98	3825	3362
99	3873	3330
100	3893	3276
101	3909	3219
102	3920	3159
103	3938	3105
104	3956	3052
105	3973	2998
106	3994	2948
107	4007	2894
108	4024	2842
109	4044	2794
110	4057	2741
111	4075	2692
112	4100	2648
113	4117	2600
114	4133	2552
115	4148	2503
116	4165	2456
117	4187	2413
118	4198	2363
119	4217	2319
120	4233	2274
121	4250	2229
122	4262	2183
123	4275	2137
124	4284	2090
125	4293	2044
126	4317	2005
127	4329	1961
128	4351	1922
129	4372	1883
130	4381	1839
131	4406	1802
132	4451	1773
133	4472	1735
134	4503	1701
135	4544	1670
136	4564	1632
137	4597	1599
138	4637	1567
139	4661	1531
140	4688	1496
141	4725	1464
142	4751	1428
143	4780	1394
144	4803	1358
145	4827	1322
146	4852	1287
147	4873	1251
148	4903	1217
149	4926	1182
150	4957	1149
151	4996	1117
152	5033	1085
153	5076	1054
154	5163	1032
155	5206	1001
156	5219	964
157	5228	926
158	5250	891
159	5267	855
160	5296	822
161	5327	789
162	5345	754
163	5361	719
164	5394	686
165	5417	652
166	5452	620
167	5471	586
168	5483	551
169	5498	517
170	5529	485
171	5550	451
172	5576	419
173	5584	385
174	5603	352
175	5633	320
176	5659	287
177	5681	255
178	5780	226
179	5836	194
180	5925	163
181	6025	132
182	6070	99
183	6116	66
184	6191	33
185	6291	0
