id_client,age,sexe,zone,situation_matrimoniale,niveau_education,nombre_personnes_a_charge,secteur_activite,anciennete_activite_annees,revenu_mensuel_fcfa,charges_mensuelles_fcfa,anciennete_cooperative_mois,membre_groupe_solidaire,epargne_solde_moyen_fcfa,regularite_epargne,nombre_credits_anterieurs,taux_remboursement_historique_pct,jours_retard_moyen_historique,possede_mobile_money,frequence_transactions_mm_mois,interroge_bic,statut_bic,nombre_prets_actifs_autres_institutions,encours_credit_autres_institutions_fcfa,objet_credit,montant_credit_demande_fcfa,duree_credit_mois,garantie,ratio_endettement,defaut_credit
CSWA-00001,23,Femme,Rurale,Célibataire,Primaire,3,Artisanat,3.2,67000,49000,40,0,18400,Irrégulière,2,83.1,8.0,1,8,1,Pret en cours ailleurs,1,121000,Habitat/Réparation,188000,6,Aucune,1.42,0
CSWA-00002,55,Femme,Urbaine,Célibataire,Secondaire,4,Commerce informel,6.0,103000,66000,161,0,70300,Irrégulière,1,72.3,16.0,1,10,1,Bon payeur ailleurs (solde sans incident),0,0,Santé,221000,12,Caution solidaire,0.84,0
CSWA-00003,49,Femme,Rurale,Marié(e),Secondaire,3,Restauration/Transformation,1.5,85000,30000,6,1,6800,Irrégulière,2,80.2,1.0,1,13,1,Jamais emprunté ailleurs,0,0,Fonds de commerce,153000,24,Aucune,0.44,0
CSWA-00004,39,Femme,Urbaine,Marié(e),Aucun,1,Fonctionnaire,6.3,128000,92000,53,1,31000,Régulière,2,41.5,7.0,1,8,0,Non consulté,0,0,Habitat/Réparation,374000,18,Aucune,0.9,0
CSWA-00005,39,Homme,Urbaine,Marié(e),Aucun,7,Restauration/Transformation,5.1,104000,58000,116,1,55900,Irrégulière,2,78.3,3.0,1,14,1,Jamais emprunté ailleurs,0,0,Fonds de commerce,269000,6,Aucune,1.04,1
CSWA-00006,59,Femme,Rurale,Marié(e),Secondaire,5,Commerce informel,4.0,54000,26000,20,0,7000,Régulière,1,57.5,0.0,1,6,1,Jamais emprunté ailleurs,0,0,Intrants agricoles,54000,12,Caution solidaire,0.57,0
CSWA-00007,23,Femme,Rurale,Marié(e),Secondaire,3,Elevage,13.5,51000,37000,70,0,2400,Irrégulière,1,98.8,12.0,1,6,1,Bon payeur ailleurs (solde sans incident),0,0,Santé,208000,24,Aucune,0.92,0
CSWA-00008,51,Homme,Semi-urbaine,Divorcé(e),Supérieur,2,Artisanat,5.1,69000,37000,29,0,27000,Irrégulière,6,73.5,3.0,1,9,1,Pret en cours ailleurs,1,269000,Fonds de commerce,254000,18,Bien matériel,1.12,0
CSWA-00009,28,Homme,Semi-urbaine,Marié(e),Supérieur,4,Restauration/Transformation,5.2,105000,61000,52,0,19600,Irrégulière,1,94.1,5.0,1,11,1,Bon payeur ailleurs (solde sans incident),0,0,Intrants agricoles,316000,12,Caution solidaire,0.86,0
CSWA-00010,23,Femme,Semi-urbaine,Marié(e),Secondaire,4,Commerce informel,2.4,34000,27000,65,0,21200,Régulière,2,75.1,11.0,0,0,1,Bon payeur ailleurs (solde sans incident),0,0,Fonds de commerce,137000,6,Aval d'un tiers,1.55,1
